NO,ID,MESSAGE,COMMENT,END
156,110012,[%1%]関数を実行しようとしましたが、\nトゥゲザー名が指定されていなかったので、自動判定をしようとしたとき、\nこのアクションの親コントロールは　指定されていませんでした。\nプログラムのミスかもしれません。\n%2%,%1%…関数名が入る。%2%…設定位置パンくずリストが入る。,END
157,110013,[%1%]関数を実行しようとしましたが、\nトゥゲザー名が指定されていなかったので、自動判定をしようとしたとき、\nこのアクションの親イベントは　指定されていませんでした。\nプログラムのミスかもしれません。\n%2%,%1%…関数名が入る。%2%…設定位置パンくずリストが入る。,END
158,110014,[%1%]アクションを実行しようとしましたが、\nトゥゲザー名が指定されていなかったので、自動判定をしようとしたとき、\nこのアクションのアクション設定は　指定されていませんでした。\nプログラムのミスかもしれません。\n%2%,%1%…関数名が入る。%2%…設定位置パンくずリストが入る。,END
159,110015,formConfigTable引数が指定されていません。\nレイアウト設定ファイルを指すテーブル名を指定してください。\n%1%,%1%…設定位置パンくずリストが入る。,END
160,110016,未実装、リストボックスで選択している行がなかった。\n選択している項目インデックス番号は、[%1%]です。,%1%…リストボックスで選択している項目のindexが入る。,END
161,110017,name引数が指定されていません。\n%1%,%1%…設定位置パンくずリストが入る。,END
162,110018,value引数が指定されていません。\n%1%,%1%…設定位置パンくずリストが入る。,END
163,110019,コントロールがリストボックスではありませんでした。\nコントロール名＝[%1%]\nクラス＝[%2%],%1%…コントロール名が入る。%2%…コントロールのクラス名が入る。,END
164,110020,＜ｄａｔａ　＞要素がありませんでした。\nコントロール名＝[%1%],%1%…コントロール名が入る。,END
165,110021,＜ｄａｔａ　＞に　[%1%]　属性がありませんでした。\nコントロール名＝[%2%]\n%3%%4%,%1%…引数名NameVarが入る。%2%…コントロール名が入る。%3%…データターゲットの変数の中身が入る。%4%…データターゲットの設定の中身が入る。,END
166,110022,＜ｖｉｅｗ＞の中に、未定義の要素がありました。\nそのクラス名＝[%1%]\n「Expr[%2%]　ｎａｍｅ＝”[%3%]”,%1%…要素のクラス名が入る。%2%…設定の子要素のノード名が入る。%3%…設定の子要素の関数名が入る。,END
167,110023,コントロール（fcUc）を取得できませんでした。\nコントロール名＝[%1%],%1%…コントロール名が入る。,END
168,110024,＜ｖｉｅｗ＞の中に有効な要素がありませんでした。\n有効な要素が１つ以上必要です。\nコントロール名＝[%1%],%1%…コントロール名が入る。,END
169,110025,[%1%]要素が変でした。\nerr_sNodeName=[%2%],%1%…引数名が入る。%2%…ノード名が入る。,END
170,110026,このアクションでは、指定のコントロールの種類に対して、プログラムが未実装です。\nコントロール名[%1%] Fc型[%2%],%1%…コントロール名が入る。%2%…コントロールの型名が入る。,END
171,110027,[%1%]という名前のコントロールには、\n[%2%]という名前のイベントは　存在しませんでした。,%1%…コントロール名が入る。%2%…イベント名が入る。,END
172,110028,[%1%]という名前のコントロールは存在しませんでした。,%1%…コントロール名が入る。,END
173,110029,指定のアクション[%1%]を実行しようとしましたが、\n　enum=[%2%]に対応するメソッドを呼び出すプログラムが書かれていません。\n\n　%3%に、プログラムを実装してください。\n\n　・または、そのイベントに追加できないアクションを記述しているのかもしれません。,%1%…関数名が入る。%2%…イベントハンドラー名が入る。%3%…問題のあったメソッドが入る。,END
174,110030,指定のファイルパス[%1%]は、ファイルでもフォルダーでもありませんでした。\n%3%\n行数[%2%],%1%…ファイルパスが入る。%2%…エラーのあった行が入る。%3%…設定位置パンくずリストが入る。,END
END,,,,
